time(s), sensor value, volts, degC, state
0.00, 154, 0.75, 25.20, 0
2.00, 155, 0.76, 25.68, 0
4.00, 155, 0.76, 25.68, 0
6.00, 156, 0.76, 26.17, 0
8.00, 156, 0.76, 26.17, 0
10.00, 155, 0.76, 25.68, 0
12.00, 156, 0.76, 26.17, 0
14.00, 155, 0.76, 25.68, 0
16.00, 155, 0.76, 25.68, 0
18.00, 155, 0.76, 25.68, 0
20.00, 155, 0.76, 25.68, 0
22.00, 155, 0.76, 25.68, 0
24.00, 154, 0.75, 25.20, 0
26.00, 155, 0.76, 25.68, 0
28.00, 155, 0.76, 25.68, 0
30.00, 159, 0.78, 27.64, 1
32.00, 164, 0.80, 30.08, 2
34.00, 165, 0.81, 30.57, 2
35.99, 168, 0.82, 32.03, 3
37.99, 166, 0.81, 31.05, 3
39.99, 165, 0.81, 30.57, 2
41.99, 164, 0.80, 30.08, 2
43.99, 163, 0.80, 29.59, 2
45.99, 162, 0.79, 29.10, 2
47.99, 162, 0.79, 29.10, 2
49.99, 161, 0.79, 28.61, 1
51.99, 160, 0.78, 28.12, 1
53.99, 160, 0.78, 28.12, 1
55.99, 160, 0.78, 28.12, 1
57.99, 159, 0.78, 27.64, 1
59.99, 160, 0.78, 28.12, 1
61.99, 159, 0.78, 27.64, 1
63.99, 159, 0.78, 27.64, 1
65.99, 158, 0.77, 27.15, 1
67.99, 158, 0.77, 27.15, 1
69.99, 158, 0.77, 27.15, 1
71.99, 158, 0.77, 27.15, 1
